# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
1.74620000e-02    ni56
1.02232000e-02    co55
8.01710000e-03    fe54
7.29600000e-03    ni57
6.32140000e-03    ni58
1.98083000e-03    fe52
1.91513000e-03    fe53
1.73059000e-03    co56
6.22440000e-04    mn51
4.75328000e-04    co57
4.72980000e-04    fe55
3.33520000e-04    he4
3.14215000e-04    ni59
3.14200000e-04    cr50
3.12931000e-04    cu59
1.95902000e-04    mn52
1.81608000e-04    mn53
1.42117000e-04    cr48
1.33661000e-04    co54
1.09515000e-04    cr49
7.49800000e-05    cu60
6.28660000e-05    fe56
5.71250000e-05    ca40
4.00100000e-05    prot
3.94142000e-05    cu58
3.08416000e-05    ni60
2.43393000e-05    cu61
2.41060000e-05    zn62
2.11810000e-05    si28
2.02018000e-05    zn60
1.79643000e-05    cr51
1.60850000e-05    v47
1.54731000e-05    zn61
1.19134000e-05    mn50
1.18080000e-05    s32
9.42330000e-06    ti44
9.19300000e-06    ar36
8.21270000e-06    ni55
6.89230000e-06    co58
4.89390000e-06    cr52
4.72270000e-06    ti46
3.89482000e-06    cu57
3.46830000e-06    v48
3.24004000e-06    mn54
2.35291000e-06    ti45
2.13222000e-06    co53
1.85061000e-06    v49
1.82979000e-06    zn63
1.56192000e-06    fe51
1.13980000e-06    k39
8.34520000e-07    ca41
7.17260000e-07    cu62
5.36595000e-07    mn49
4.78325000e-07    ga63
3.87230000e-07    sc43
3.68950000e-07    v46
3.39665000e-07    zn64
3.00310000e-07    s33
2.51713000e-07    fe57
2.21313000e-07    ni61
2.21250000e-07    p31
1.73710000e-07    k38
1.72899000e-07    co59
1.67522000e-07    ti47
1.61430000e-07    cl35
1.53220000e-07    si29
1.22934000e-07    ga64
1.21350000e-07    ca42
1.20973000e-07    zn59
9.12850000e-08    ca39
8.91810000e-08    mn55
8.42710000e-08    ga62
8.10260000e-08    ga65
7.18320000e-08    p30
6.80600000e-08    ar37
6.54410000e-08    s34
6.06870000e-08    cr47
6.00980000e-08    sc41
5.89550000e-08    mg24
5.74730000e-08    sc42
4.36180000e-08    v50
4.18560000e-08    ar35
3.94270000e-08    k37
3.86970000e-08    p29
3.29012000e-08    v45
3.16765000e-08    cu63
2.83140000e-08    o16
2.48622000e-08    ge66
2.45740000e-08    sc44
2.42170000e-08    ti48
1.99558000e-08    cr53
1.54497000e-08    ge64
1.49770000e-08    cl33
1.44170000e-08    s31
1.20547000e-08    si30
1.00144000e-08    c12
6.93270000e-09    sc45
6.58732000e-09    ni54
5.84070000e-09    ti43
5.13000000e-09    cl34
4.52770000e-09    v51
4.41467000e-09    ge65
3.90712000e-09    zn65
3.53250000e-09    al27
3.50666000e-09    ni62
3.14000000e-09    ar38
2.97840000e-09    k40
2.97205000e-09    ge67
2.76928000e-09    fe50
2.42820000e-09    ga66
2.18370000e-09    neut
1.76405000e-09    fe58
1.66150000e-09    si27
1.64280000e-09    cl36
1.27000000e-09    ar34
1.12110000e-09    ca43
1.07005000e-09    zn58
1.05702000e-09    ge68
9.11470000e-10    ca38
8.93270000e-10    p32
6.21231000e-10    ga61
5.28770000e-10    ne20
5.13502000e-10    co52
3.65626000e-10    ge63
3.43992000e-10    ga67
3.35670000e-10    al26
2.88893000e-10    co60
2.83584000e-10    cr46
2.05641000e-10    mn48
1.98678000e-10    ti42
1.70513000e-10    ti49
1.69403000e-10    cr54
1.62310000e-10    al25
1.44347000e-10    cu56
1.36736000e-10    as69
1.17335000e-10    zn66
1.14139000e-10    mg25
1.13276000e-10    cu64
1.09973000e-10    as67
1.04650000e-10    cl37
9.12160000e-11    sc46
8.14600000e-11    mn56
6.91132000e-11    as66
6.63596000e-11    as68
5.92800000e-11    k41
5.33990000e-11    ca44
5.11520000e-11    k36
4.09880000e-11    s35
2.62684000e-11    ge69
2.12294000e-11    se70
2.01270000e-11    cl32
1.70460000e-11    p33
1.56924000e-11    o15
1.55340000e-11    mg23
1.53739000e-11    sc40
1.10900000e-11    h2
9.69492000e-12    se71
7.51400000e-12    mg26
7.49152000e-12    as70
6.10440000e-12    he3
5.98590000e-12    ti50
5.75830000e-12    n13
5.69350000e-12    si26
4.87514000e-12    se72
4.77110000e-12    na23
4.37610000e-12    v52
3.84720000e-12    al28
3.55000000e-12    ar39
3.49568000e-12    ni63
3.40598000e-12    se68
3.33470000e-12    f17
3.25890000e-12    si31
3.05830000e-12    sc47
2.72326000e-12    co51
2.47099000e-12    ga60
2.36062000e-12    se69
2.30694000e-12    as65
1.99459000e-12    as71
1.95960000e-12    ga68
1.61436000e-12    ge70
1.37550000e-12    na21
1.34032000e-12    na22
1.29810000e-12    n14
1.22035000e-12    v44
1.20000000e-12    s30
9.99700000e-13    cu65
8.42840000e-13    co61
7.88334000e-13    f20
7.72010000e-13    ni53
6.15070000e-13    fe59
5.88614000e-13    ge62
4.16780000e-13    s36
3.41452000e-13    br73
2.95229000e-13    se67
2.78359000e-13    zn67
2.67540000e-13    n15
2.63841000e-13    fe49
2.58981000e-13    se73
2.25290000e-13    k42
2.19172000e-13    br71
1.80120000e-13    ar33
1.78170000e-13    o14
1.69289000e-13    ca37
1.66660000e-13    ca45
1.56300000e-13    p28
1.49498000e-13    k35
1.49320000e-13    ne21
9.58700000e-14    cl31
9.52480000e-14    mg22
8.24966000e-14    br72
8.23790000e-14    mn57
7.82300000e-14    mn47
7.33480000e-14    o17
6.17167000e-14    cu55
5.37800000e-14    ne19
5.23317000e-14    kr74
5.20615000e-14    ga69
4.51251000e-14    br74
4.16720000e-14    b9
4.05380000e-14    se74
3.67405000e-14    kr76
3.47570000e-14    c13
3.41200000e-14    cr55
3.29240000e-14    al29
2.86980000e-14    br75
2.56844000e-14    kr75
2.37576000e-14    as72
1.83789000e-14    zn57
1.74100000e-14    ar40
1.69550000e-14    sc48
1.44990000e-14    f18
1.31500000e-14    c11
1.25603000e-14    ti41
9.91820000e-15    ge71
9.50504000e-15    kr73
8.52200000e-15    si32
8.32750000e-15    ni64
5.95630000e-15    cr45
5.60600000e-15    li6
5.27800000e-15    v53
5.00520000e-15    v43
4.95110000e-15    ne18
4.73350000e-15    al24
4.18090000e-15    be7
4.09470000e-15    ne22
3.98513000e-15    kr77
3.78229000e-15    br70
3.42097000e-15    ga59
2.62989000e-15    kr72
2.48720000e-15    ca46
2.39627000e-15    f21
2.17010000e-15    s29
1.91680000e-15    k43
1.83283000e-15    as73
1.62100000e-15    cl38
1.48376100e-15    rb77
1.43149000e-15    zn68
1.28844000e-15    ti51
1.28730000e-15    f19
1.14929200e-15    kr78
1.08836000e-15    na24
8.81100000e-16    p34
8.43660000e-16    mg27
7.60169000e-16    br76
7.01020000e-16    cu66
6.89400000e-16    h3
5.58190000e-16    fe60
5.31827000e-16    br69
4.93770000e-16    se75
4.19210000e-16    rb79
4.16760000e-16    b10
4.08300000e-16    p27
3.71378000e-16    rb76
2.98426000e-16    rb75
2.55887000e-16    ni52
2.22592000e-16    o19
2.22370000e-16    sc49
1.98166000e-16    sr80
1.88602000e-16    co62
1.72847000e-16    ge72
1.72544100e-16    sr78
1.59561100e-16    sr79
1.44155500e-16    rb78
1.19160000e-16    ar41
1.19092000e-16    br77
5.53590000e-17    ca36
5.49161000e-17    ga70
4.51976000e-17    y80
4.02851000e-17    fe48
3.85927000e-17    sr81
3.55130000e-17    ar32
3.50510000e-17    na20
3.02350000e-17    be9
2.75083000e-17    sr77
2.47975000e-17    kr79
2.13640000e-17    c14
2.03662000e-17    co50
1.96383000e-17    se76
1.74165000e-17    rb74
1.41467900e-17    sr82
1.15662000e-17    cr56
