# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
1.13928000e-02    ni56
4.28003000e-03    si28
3.85959000e-03    s32
3.13759000e-03    co55
2.43133000e-03    fe54
1.69371000e-03    ni57
1.55214000e-03    ca40
1.33245000e-03    ar36
5.66151000e-04    ni58
3.76021000e-04    fe53
9.76000000e-05    fe52
8.68432000e-05    mn51
4.72079000e-05    co56
4.43667000e-05    cr50
3.99860000e-05    prot
1.51050000e-05    cr48
1.34586000e-05    cr49
6.62450000e-06    co54
6.18118000e-06    fe55
6.10460000e-06    he4
4.80680000e-06    ti44
4.23516000e-06    mn52
3.57106000e-06    cu59
2.98647000e-06    p29
2.76330200e-06    co57
1.86686800e-06    mn53
1.44087000e-06    cl33
1.23620000e-06    s31
1.11630000e-06    k39
9.99248000e-07    v47
5.72138000e-07    cu58
5.33453000e-07    s33
4.74616000e-07    ar35
4.36405000e-07    ni59
3.89444000e-07    ti46
3.56446000e-07    cl35
2.95247000e-07    ar37
2.55713000e-07    ca39
2.40177000e-07    mn50
2.36399000e-07    ca41
1.68048000e-07    ni55
1.62430000e-07    si29
1.54078000e-07    k37
1.28901600e-07    fe56
1.20201000e-07    o16
1.07890500e-07    cr51
8.68510000e-08    mg24
8.31390000e-08    fe51
7.78198000e-08    s30
7.74130000e-08    p31
7.29000000e-08    zn60
6.84400000e-08    cl34
6.36920000e-08    co53
5.64643000e-08    ar38
4.49730000e-08    ti45
4.49214000e-08    ar34
3.58856000e-08    sc41
2.70272000e-08    mn49
2.59075200e-08    v48
2.34360000e-08    p30
2.19879000e-08    s34
2.15561000e-08    cu60
1.70233000e-08    c12
1.31448100e-08    ni60
1.28519000e-08    sc43
1.17249600e-08    cr52
1.09429600e-08    ca42
8.82400000e-09    cu57
7.85538000e-09    zn62
5.95100000e-09    v46
4.60561000e-09    cr47
4.60399000e-09    cu61
4.11194000e-09    v49
3.74262000e-09    ca38
3.51000000e-09    k38
3.47852000e-09    zn61
1.82444000e-09    v45
1.12054600e-09    si30
4.72510000e-10    ti43
3.43090000e-10    sc42
3.18554900e-10    ti47
2.56182000e-10    al27
2.04110000e-10    ni54
1.87287000e-10    mn54
1.85770000e-10    si27
1.78511000e-10    ne20
1.76484100e-10    co58
1.36899000e-10    fe50
1.24007000e-10    al25
6.84495000e-11    al26
6.77877000e-11    cl36
5.16952400e-11    zn63
5.12101000e-11    k40
5.05844000e-11    ti42
4.75655000e-11    si26
4.17622000e-11    cl32
3.53019000e-11    cr46
3.22897000e-11    sc44
2.37310000e-11    zn59
1.48417000e-11    ga63
1.45616000e-11    k36
9.98085000e-12    ti48
9.28292000e-12    p32
7.40311000e-12    mg23
6.73565000e-12    ga62
5.47413000e-12    mg25
3.03726000e-12    mn48
2.64725900e-12    cu62
2.41822000e-12    o15
2.25691000e-12    zn58
2.05406700e-12    ge64
1.69975000e-12    n13
1.42374780e-12    ga64
1.32871000e-12    co52
1.14325900e-12    sc45
1.06441600e-12    fe57
7.34334000e-13    zn64
6.37121900e-13    co59
4.75077860e-13    ni61
4.55835000e-13    sc40
4.11477000e-13    f17
3.29671500e-13    mn55
3.13424700e-13    ge66
2.66103000e-13    ca43
2.07974000e-13    p28
1.97924500e-13    ga65
1.76151520e-13    cr53
1.52039000e-13    v50
1.47643000e-13    neut
1.16825500e-13    o14
1.15732000e-13    na21
1.02749980e-13    ge65
8.62412000e-14    cl31
8.31578000e-14    cl37
6.25370000e-14    ar33
5.43241000e-14    n14
4.87719000e-14    na22
3.93662350e-14    v51
2.65289000e-14    k35
2.64361000e-14    cu56
2.59298000e-14    ga61
2.49135000e-14    mg26
1.71513000e-14    mg22
1.23001000e-14    ge63
1.21218780e-14    cu63
1.10866700e-14    ca37
1.01228000e-14    ar39
8.30574000e-15    co51
4.93860000e-15    k41
4.18992000e-15    na23
3.36527000e-15    p33
2.20145000e-15    v44
1.92946300e-15    ca44
1.83837300e-15    al28
1.22311400e-15    c11
1.00991710e-15    ge67
9.57961000e-16    ne21
9.29245000e-16    ne18
8.34175100e-16    ti49
6.95100000e-16    s35
6.58320500e-16    fe58
5.75272000e-16    ni53
4.37478600e-16    sc46
4.26691000e-16    s29
4.15062000e-16    ne19
4.11042510e-16    ni62
3.87456500e-16    fe49
3.70659000e-16    he3
2.74963000e-16    p27
2.32713730e-16    zn65
2.26427000e-16    n15
1.92294000e-16    si31
1.85185940e-16    as67
1.58681310e-16    ga66
1.27889400e-16    as66
1.16048717e-16    ge68
1.08570400e-16    c13
9.19820000e-17    mn47
9.04930000e-17    h2
8.98300000e-17    f20
8.30135600e-17    cr54
6.03430000e-17    al24
5.49341000e-17    ti41
2.90913600e-17    s36
1.74988190e-17    ar40
1.40468000e-17    f18
1.06943000e-17    ga60
8.41987400e-18    se68
6.55030000e-18    o17
6.16821000e-18    v43
5.71624800e-18    b9
5.70899000e-18    cu55
5.01673100e-18    as68
4.75661400e-18    co60
4.20133830e-18    as69
3.39124200e-18    sc47
3.15634000e-18    ge62
3.04841500e-18    mn56
3.03188900e-18    ti50
2.62011600e-18    se70
2.60423400e-18    ar32
2.39084600e-18    ga67
2.08783700e-18    as65
1.90470900e-18    cr45
1.36850100e-18    ca36
6.09438900e-19    k42
4.89089200e-19    ne22
4.48980040e-19    zn66
3.39388000e-19    f21
3.11970000e-19    zn57
2.70729000e-19    si25
2.64442600e-19    cu64
2.62404070e-19    se69
2.42336000e-19    al29
1.79593080e-19    v52
1.48149280e-19    se67
1.32733900e-19    na20
9.48005400e-20    ca45
8.64096900e-20    si32
8.47792000e-20    ni52
3.83742000e-20    al23
3.15989900e-20    se71
2.72564000e-20    f19
2.68343610e-20    cl38
1.88267300e-20    ga59
1.73640690e-20    ge69
1.38171000e-20    s28
1.22009100e-20    fe48
8.04492220e-21    mg27
5.20194700e-21    se72
5.19782000e-21    na24
3.08654300e-21    as70
2.25071100e-21    be7
2.10587880e-21    br71
1.87924270e-21    p34
1.39774880e-21    li6
8.95175000e-22    c14
7.82066000e-22    cr44
6.47426000e-22    co50
5.13405550e-22    ni63
3.31214900e-22    na19
1.87677800e-22    mg21
1.74056450e-22    fe59
1.42183610e-22    sc48
1.41461590e-22    k43
1.40060142e-22    co61
1.38180670e-22    as71
1.17352650e-22    o18
1.17216833e-22    ge70
8.49848800e-23    h3
7.71180200e-23    cu65
7.58300000e-23    o19
7.36572700e-23    ga68
5.62014300e-23    ca46
5.25933300e-23    br73
3.55756000e-23    br72
3.01250000e-23    n12
2.82050500e-23    kr74
2.40966700e-23    mn57
1.79315620e-23    kr72
1.57703450e-23    cr55
1.57296400e-23    si24
1.39684474e-23    br69
1.34939100e-23    b10
9.82673400e-24    na25
8.82329400e-24    b11
7.85065200e-24    br70
6.91585300e-24    ar41
6.26238000e-24    kr73
2.31660900e-24    se73
1.95167680e-24    kr76
1.56483270e-24    zn67
1.44673900e-24    be9
1.38497522e-24    sr82
1.10670696e-24    kr78
9.90907000e-25    v53
7.94382841e-25    zr86
7.91904366e-25    sr80
7.89994500e-25    kr75
6.57539000e-25    ne17
5.39100300e-25    ti51
2.99729000e-25    mn46
2.84757360e-25    se74
2.14829000e-25    br74
1.90297837e-25    rb79
1.50981540e-25    cl39
1.31052400e-25    mg28
1.29707315e-25    br75
1.05161440e-25    y83
8.65379423e-26    kr77
7.13485300e-26    ga69
6.17623400e-26    ni64
5.74512722e-26    sr81
5.43274500e-26    sc49
5.10982888e-26    sr84
4.78057286e-26    y85
4.33595961e-26    nb87
3.90257900e-26    mo90
3.69611334e-26    zr84
3.40144500e-26    s37
