# L1 Error for e-2 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.82100000e-04    fe54
1.94300000e-04    he4
1.20660000e-04    fe56
1.01540000e-04    ni58
9.12100000e-05    co55
6.53800000e-05    fe55
5.89900000e-05    ni59
5.67500000e-05    co57
5.50700000e-05    ni57
5.45500000e-05    ni60
5.15800000e-05    co58
3.55300000e-05    mn54
2.91750000e-05    ni56
2.51700000e-05    fe53
2.38100000e-05    cr52
2.00660000e-05    fe57
1.88200000e-05    co56
1.56100000e-05    cr51
1.44000000e-05    cr50
1.42710000e-05    co59
1.33000000e-05    ni61
1.32500000e-05    mn53
1.25430000e-05    cu61
1.10870000e-05    mn55
7.63800000e-06    cu62
7.63600000e-06    mn51
6.60100000e-06    fe52
6.54200000e-06    prot
5.82300000e-06    cu60
4.07100000e-06    v49
3.47900000e-06    cr53
2.92000000e-06    mn52
2.67870000e-06    cu63
2.64760000e-06    zn63
2.36730000e-06    zn64
1.91240000e-06    v50
1.75940000e-06    fe58
1.69730000e-06    ni62
1.58300000e-06    v48
1.57090000e-06    zn62
1.53540000e-06    si28
1.46710000e-06    s32
1.39300000e-06    cr49
1.24920000e-06    v51
1.15770000e-06    ca40
9.83200000e-07    ar36
8.75400000e-07    ti47
8.02300000e-07    ti48
5.87500000e-07    co60
5.82900000e-07    cr48
5.28000000e-07    ti46
4.88900000e-07    zn65
4.61000000e-07    cu59
3.87300000e-07    zn61
3.17400000e-07    cr54
2.94800000e-07    v47
2.87890000e-07    mn56
2.33020000e-07    ga65
2.25800000e-07    ti45
1.73400000e-07    k39
1.60580000e-07    cu64
1.47810000e-07    cu58
1.41400000e-07    sc45
1.16000000e-07    ca42
1.06800000e-07    cl35
9.42400000e-08    mn50
9.41700000e-08    ga64
9.36600000e-08    neut
9.34800000e-08    ga66
9.04700000e-08    sc44
8.90200000e-08    ti49
8.28100000e-08    zn66
7.56000000e-08    sc43
6.32000000e-08    ca41
6.09400000e-08    ga67
5.24900000e-08    p31
5.03000000e-08    s33
4.18000000e-08    ga63
3.42700000e-08    k40
3.10000000e-08    ar38
